c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NuméroDuProgramme,c_ProfilDeFormationDuprogramme,c_DépartementResponsable
"SCO 1065","Fiscalité 2","Cours avec examen",4397,Administration,Administration
"ADM 1012","Le management du changement","Cours avec examen",4397,Administration,Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",4397,Administration,Administration
"ADM 1018",Leadership,"Cours avec examen",4397,Administration,Administration
"ADM 1402","Entreprise et société","Cours avec examen",4397,Administration,Administration
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",4397,Administration,Administration
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",4397,Administration,Administration
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",4397,Administration,Administration
"EUT 4138","Gestion des événements et congrès","Cours avec examen",4397,Administration,Administration
"ADM 2015","Comportement du consommateur","Cours avec examen",4397,Administration,Administration
"ADM 2016","Gestion de la relation de vente","Cours avec examen",4397,Administration,Administration
"ADM 2017","Marketing des commerces de détail et expérience client","Cours avec examen",4397,Administration,Administration
"ADM 2112","Recherche marketing","Cours avec examen",4397,Administration,Administration
"ADM 1420","Gestion des opérations","Cours avec examen",4397,Administration,Administration
ADM2006,"Les systèmes d'information de gestion","Cours avec examen",4397,Administration,Administration
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",4397,Administration,Administration
"MQT 2420","Récherche opérationnelle","Cours avec examen",4397,Administration,Administration
"DRT 1060","Droit des affaires","Cours avec examen",4397,Administration,Administration
"DRT 1080","Droit du travail au Québec","Cours avec examen",4397,Administration,Administration
"ECO 2011","Économie du Québec","Cours avec examen",4397,Administration,Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",4397,Administration,Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",4480,"Administration de services",Administration
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",4480,"Administration de services",Administration
"DRT 1060","Droit des affaires","Cours avec examen",4480,"Administration de services",Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",4480,"Administration de services",Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",4480,"Administration de services",Administration
"ADM 1420","Gestion des opérations","Cours avec examen",4480,"Administration de services",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",4480,"Administration de services",Administration
"ADM 2016","Gestion de la relation de vente","Cours avec examen",4480,"Administration de services",Administration
"ADM 2115","Réaliser un projet d'affaires","Cours avec examen",4480,"Administration de services",Administration
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",4480,"Administration de services",Administration
"FIN 1020","Administration financière 1","Cours avec examen",4480,"Administration de services",Administration
"FIN 2020","Administration financière 2","Cours avec examen",4480,"Administration de services",Administration
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",4480,"Administration de services",Administration
"SCO 1060","Fiscalité 1","Cours avec examen",4480,"Administration de services",Administration
"SCO 1065","Fiscalité 2","Cours avec examen",4480,"Administration de services",Administration
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",4480,"Administration de services",Administration
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",4480,"Administration de services",Administration
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",4480,"Administration de services",Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",4480,"Administration de services",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",4480,"Administration de services",Administration
"ADM 1402","Entreprise et société","Cours avec examen",4480,"Administration de services",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",4480,"Administration de services",Administration
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",4480,"Administration de services",Administration
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",4480,"Administration de services",Administration
"ECO 1300","Analyse microéconomique","Cours avec examen",4480,"Administration de services",Administration
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",4480,"Administration de services",Administration
"MQT 2420","Récherche opérationnelle","Cours avec examen",4480,"Administration de services",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",4459,"Gestion des services de santé et des services sociaux",Administration
"ADM 2205","Le système de santé et des services sociaux du Québec","Cours avec examen",4459,"Gestion des services de santé et des services sociaux",Administration
"ADM 2210","Droit et éthique de la santé et des services sociaux","Cours avec examen",4459,"Gestion des services de santé et des services sociaux",Administration
"ADM 2215","La qualité et sa gestion dans les services de santé et services sociaux","Cours avec examen",4459,"Gestion des services de santé et des services sociaux",Administration
"ADM 1012","Le management du changement","Cours avec examen",4459,"Gestion des services de santé et des services sociaux",Administration
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",4459,"Gestion des services de santé et des services sociaux",Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",4459,"Gestion des services de santé et des services sociaux",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",4459,"Gestion des services de santé et des services sociaux",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",4734,"Gestion du tourisme",Administration
"EUT 1123","Histoire, acteurs et enjeux du tourisme","Cours avec examen",4734,"Gestion du tourisme",Administration
"EUT 4138","Gestion des événements et congrès","Cours avec examen",4734,"Gestion du tourisme",Administration
"EUT 4150","Technologies de l'information et des communications et réseaux de distribution en tourisme","Cours avec examen",4734,"Gestion du tourisme",Administration
"EUT 5045","Stratégies des entreprises touristiques et hôtelières","Cours avec examen",4734,"Gestion du tourisme",Administration
"EUT 5106","Environnements politiques et administratifs du tourisme","Cours avec examen",4734,"Gestion du tourisme",Administration
"EUT 5109","Tourisme urbain","Cours avec examen",4734,"Gestion du tourisme",Administration
"ADM 2115","Réaliser un projet d'affaires","Cours avec examen",4734,"Gestion du tourisme",Administration
"DRT 1060","Droit des affaires","Cours avec examen",4734,"Gestion du tourisme",Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",4734,"Gestion du tourisme",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"ADM 1404","Travail et société","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"COM 5000","Communication organisationnelle","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"DRT 1080","Droit du travail au Québec","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"ECO 3003","Économie du travail","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"FIN 1020","Administration financière 1","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"RIN 1016","Gestion de la rémunération","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",4386,"Gestion du travail de bureau",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",4084,Management,Administration
"ADM 1012","Le management du changement","Cours avec examen",4084,Management,Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",4084,Management,Administration
"ADM 1402","Entreprise et société","Cours avec examen",4084,Management,Administration
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",4084,Management,Administration
"ADM 1018",Leadership,"Cours avec examen",4084,Management,Administration
"ADM 1404","Travail et société","Cours avec examen",4084,Management,Administration
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",4084,Management,Administration
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",4084,Management,Administration
"COM 1013","Communication et structures organisationnelles","Cours avec examen",4084,Management,Administration
"COM 5002","Culture organisationnelle","Cours avec examen",4084,Management,Administration
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",4084,Management,Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",7764,"Administration (cheminement général)",Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ECO 1300","Analyse microéconomique","Cours avec examen",7764,"Administration (cheminement général)",Administration
"DRT 1060","Droit des affaires","Cours avec examen",7764,"Administration (cheminement général)",Administration
"FIN 1020","Administration financière 1","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 1420","Gestion des opérations","Cours avec examen",7764,"Administration (cheminement général)",Administration
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 1402","Entreprise et société","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",7764,"Administration (cheminement général)",Administration
"SCO 2006","Contrôle de gestion","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 1012","Le management du changement","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 1018",Leadership,"Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 1404","Travail et société","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2009","Marketing responsable","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2013","Publicité et promotion pour les entreprises de services","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2015","Comportement du consommateur","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2016","Gestion de la relation de vente","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2017","Marketing des commerces de détail et expérience client","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2112","Recherche marketing","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2116","Stratégie marketing","Cours avec examen",7764,"Administration (cheminement général)",Administration
"FIN 2020","Administration financière 2","Cours avec examen",7764,"Administration (cheminement général)",Administration
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",7764,"Administration (cheminement général)",Administration
"SCO 1060","Fiscalité 1","Cours avec examen",7764,"Administration (cheminement général)",Administration
"SCO 1065","Fiscalité 2","Cours avec examen",7764,"Administration (cheminement général)",Administration
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",7764,"Administration (cheminement général)",Administration
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",7764,"Administration (cheminement général)",Administration
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 1700","Principes de l'assurance de personnes","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 7012","Retraite et planification successorale","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 7014","Approfondissement de la planification successorale","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 7030","Activité d'intégration en planification financière","Cours avec examen",7764,"Administration (cheminement général)",Administration
"DRT 1910","Aspects juridiques pour planificateurs financiers","Cours avec examen",7764,"Administration (cheminement général)",Administration
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",7764,"Administration (cheminement général)",Administration
"SCO 1064","Fiscalité 2 pour planificateurs financiers","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2010","Gestion de la formation et développement des ressources humaines","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 4015","Modèles internationaux de gestion des ressources humaines","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 4020","Gestion du rendement","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RIN 1008","Introduction aux relations insdustrielles","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RIN 1011",Dotation,"Cours avec examen",7764,"Administration (cheminement général)",Administration
"RIN 1012","Droit et pratique des conventions collectives","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RIN 1013","Problèmes de santé au travail","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RIN 1015","Gestion du dossier de santé et de sécurité au travail","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RIN 1016","Gestion de la rémunération","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RIN 1017","Les défis de l'intervention préventiveen santé et sécurité au travail","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RIN 1022","Négociation collective contemporaine","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RIN 2015","Politiques et pratiques de gestion de la main-d'œuvre vieillissante","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",7764,"Administration (cheminement général)",Administration
"INF 1160","Les réseaux d'entreprise","Cours avec examen",7764,"Administration (cheminement général)",Administration
"INF 1220","Introduction à la programmation","Cours avec examen",7764,"Administration (cheminement général)",Administration
"INF 1250","Introduction aux bases de données","Cours avec examen",7764,"Administration (cheminement général)",Administration
"INF 6400","Gestion de connaissances et informatique","Cours avec examen",7764,"Administration (cheminement général)",Administration
"MQT 2420","Récherche opérationnelle","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 3007","Initiatives de développement local et d'économie sociale","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ECO 2011","Économie du Québec","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ECO 2015","Économie internationale","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ECO 2021","Économie responsable","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ECO 3003","Économie du travail","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ECO 3004","Formation et compétitivité économique","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ECO 3005","Développement économique et emploi","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2115","Réaliser un projet d'affaires","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 2021","Marketing international","Cours avec examen",7764,"Administration (cheminement général)",Administration
"INT 1010","Introduction au développement international","Cours avec examen",7764,"Administration (cheminement général)",Administration
"INT 2010","Migrations internationales","Cours avec examen",7764,"Administration (cheminement général)",Administration
"INT 2020","Théories internationales et mondialisation","Cours avec examen",7764,"Administration (cheminement général)",Administration
"INT 2030","Coopération internationale, gouvernance et développement démocratique","Cours avec examen",7764,"Administration (cheminement général)",Administration
"COM 1013","Communication et structures organisationnelles","Cours avec examen",7764,"Administration (cheminement général)",Administration
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",7764,"Administration (cheminement général)",Administration
"COM 5000","Communication organisationnelle","Cours avec examen",7764,"Administration (cheminement général)",Administration
"COM 5002","Culture organisationnelle","Cours avec examen",7764,"Administration (cheminement général)",Administration
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",7764,"Administration (cheminement général)",Administration
"COM 5022","Communication électronique, et dynamique organisationnelle","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RPL 2003","Introduction aux relations publiques","Cours avec examen",7764,"Administration (cheminement général)",Administration
"RPL 2004","Le plan de communication","Cours avec examen",7764,"Administration (cheminement général)",Administration
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",7764,"Administration (cheminement général)",Administration
"DRT 1080","Droit du travail au Québec","Cours avec examen",7764,"Administration (cheminement général)",Administration
"EUT 4138","Gestion des événements et congrès","Cours avec examen",7764,"Administration (cheminement général)",Administration
"EUT 5109","Tourisme urbain","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 4010","Stratégie d'entreprise","Cours avec examen",7764,"Administration (cheminement général)",Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ECO 1300","Analyse microéconomique","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"DRT 1060","Droit des affaires","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"FIN 1020","Administration financière 1","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 1420","Gestion des opérations","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 1402","Entreprise et société","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"SCO 2006","Contrôle de gestion","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 1012","Le management du changement","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 1018",Leadership,"Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 1404","Travail et société","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2009","Marketing responsable","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2013","Publicité et promotion pour les entreprises de services","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2015","Comportement du consommateur","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2016","Gestion de la relation de vente","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2017","Marketing des commerces de détail et expérience client","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2112","Recherche marketing","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2116","Stratégie marketing","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"FIN 2020","Administration financière 2","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"SCO 1060","Fiscalité 1","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"SCO 1065","Fiscalité 2","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 1700","Principes de l'assurance de personnes","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 7012","Retraite et planification successorale","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 7014","Approfondissement de la planification successorale","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 7030","Activité d'intégration en planification financière","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"DRT 1910","Aspects juridiques pour planificateurs financiers","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"SCO 1064","Fiscalité 2 pour planificateurs financiers","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2010","Gestion de la formation et développement des ressources humaines","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 4015","Modèles internationaux de gestion des ressources humaines","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 4020","Gestion du rendement","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RIN 1008","Introduction aux relations insdustrielles","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RIN 1011",Dotation,"Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RIN 1012","Droit et pratique des conventions collectives","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RIN 1013","Problèmes de santé au travail","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RIN 1015","Gestion du dossier de santé et de sécurité au travail","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RIN 1016","Gestion de la rémunération","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RIN 1017","Les défis de l'intervention préventiveen santé et sécurité au travail","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RIN 1022","Négociation collective contemporaine","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RIN 2015","Politiques et pratiques de gestion de la main-d'œuvre vieillissante","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"INF 1160","Les réseaux d'entreprise","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"INF 1220","Introduction à la programmation","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"INF 1250","Introduction aux bases de données","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"INF 6400","Gestion de connaissances et informatique","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
