Sigle du cours,Titre du cours,Description du cours,Type de cours,Nombre de crédits,Charge hebdomadaire,Cycle d'études,Cours préalable,Département responsable, Profil de formation du programme ,Numéro du programme
ECO 3004,Formation et compétitivité économique,"Connaissances de base sur la formation, ses modalités et son apport à la performance des entreprises et des nations.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Développement économique local et communautaire,121
ECO 3005,Développement économique et emploi,Se familiariser avec les politiques et les pratiques en matière d'emploi et de développement économique de manière à élargir sa vision sur les multiples facteurs qui déterminent leur évolution.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Développement économique local et communautaire,121
RIN 2013,Conciliation emploi-famille et temps de travail,"La problématique de l'organisation et de l'aménagement du temps de travail et des autres temps sociaux en fonction de la conciliation de l'emploi et de la famille, ou de la vie personnelle et professionnelle.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Développement économique local et communautaire,121
RIN 4120,"Innovation, organisation du travail et gestion des ressources humaines","Connaissances de base relatives à l'approche de l'évolution technologique et organisationnelle à partir des points de vue de l'économie, de la sociologie, du management et de la gestion des ressources humaines.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Développement économique local et communautaire,121
ADM 1002,Initiation à la gestion,Un cours d'initiation au domaine de la gestion.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,535
EUT 1123,"Histoire, acteurs et enjeux du tourisme","Les diverses dimensions du tourisme, à son système d'acteurs, ainsi qu'aux enjeux de ce phénomène à la fois social, culturel et économique.",Cours avec examen,4,10 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,535
EUT 4138,Gestion des événements et congrès,"La dynamique qui caractérise le secteur des événements, des foires et des congrès. Situer l'importance économique et stratégique de ce secteur au sein de l'industrie touristique.",Cours avec examen,5,11 heures par semaine,Premier cycle,ADM 1002,Administration,Gestion du tourisme,535
EUT 4150,Technologies de l'information et des communications et réseaux de distribution en tourisme,Les principes et les pratiques des technologies de l'information et de communication utilisés dans les réseaux de distribution en tourisme.,Cours avec examen,6,12 heures par semaine,Premier cycle,MKG 3315,Administration,Gestion du tourisme,535
MKG 3315,Marketing de tourisme et hôtellerie,Les connaissances de base du marketing et être en mesure de les appliquer au contexte spécifique de l'industrie du tourisme et de l'hôtellerie.,Cours sans examen,7,13 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,535
ADM 2007,Introduction au marketing,Connaissances des principes de base du marketing et maîtriser les étapes de la planification marketing.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Marketing,975
ADM 2009,Marketing responsable,Les conditions qui ont favorisé l'émergence du marketing responsable. Les concepts liés au marketing responsable et expliquer les nuances et les subtilités qui les distinguent.,Cours avec examen,4,10 heures par semaine,Premier cycle,ADM 2007,Administration,Marketing,975
ADM 2015,Comportement du consommateur,"Connaître les principales théories et approches en comportement du consommateur. Comprendre l'apport des disciplines connexes, comme la psychologie, la sociologie, l'anthropologie, l'économie, etc.",Cours avec examen,5,11 heures par semaine,Premier cycle,ADM 2007,Administration,Marketing,975
ADM 2112,Recherche marketing,Le processus de recherche dans le contexte de la prise de décision en marketing. Les méthodes et les outils de la recherche en marketing.,Cours avec examen,6,12 heures par semaine,Premier cycle,ADM 2007,Administration,Marketing,975
ADM 2116,Stratégie marketing,Les éléments de l'environnement et de la demande qui sont essentiels à analyser ainsi que les études à mener par l'entreprise pour y arriver.,Cours avec examen,7,13 heures par semaine,Premier cycle,"ADM 2007, ADM 2015 et ADM 2112",Administration,Marketing,975
ADM 1002,Initiation à la gestion,Un cours d'initiation au domaine de la gestion.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion d'entreprise,421
ADM 1015,Gestion des ressources humaines,Connaissances théoriques de la gestion des ressources humaines et à sa pratique dans un environnement en constant changement.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion d'entreprise,421
ADM 2006,Les systèmes d'information de gestion,"Les organisations, la gestion et l'entreprise en réseau. L'infrastructure de la technologie de l'information.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion d'entreprise,421
ADM 2007,Introduction au marketing,Connaissances des principes de base du marketing et maîtriser les étapes de la planification marketing.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion d'entreprise,421
ADM 1002,Initiation à la gestion,Un cours d'initiation au domaine de la gestion.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1013,Comportement organisationnel,Le gestionnaire et le comportement organisationnel.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 2007,Introduction au marketing,Connaissances des principes de base du marketing et maîtriser les étapes de la planification marketing.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ECO 1300,Analyse microéconomique,Les concepts et les mécanismes microéconomiques nécessaires à la lecture et à l'interprétation de l'information économique disponible.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
FIN 1020,Administration financière 1,Les principes fondamentaux de la finance. Maîtriser les principales notions des mathématiques financières. Connaître les critères de choix des investissements. Évaluer un projet d'investissement en tenant compte de ses impacts fiscaux.,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration,4397
SCO 1205,Initiation à la comptabilité financière,Les connaissances de base en comptabilité financière en ce qui a trait à la préparation et à la présentation des états financiers. Les compétences nécessaires à la réalisation du cycle comptable,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1700,Principes de l'assurance de personnes,Les éléments clés de la planification financière des particuliers en matière d'assurances personnelles et de rentes. Identifier les besoins auxquels répondent les produits d'assurance et de rentes.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
FIN 2022,Analyse financière et gestion du fonds de roulement,L'analyse financière et les sensibiliser aux impacts des décisions relatives aux composantes du fonds de roulement sur la rentabilité de l'entreprise et sa pérennité.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
SCO 1060,Fiscalité 1,Les différentes règles d'assujettissement à l'impôt ainsi que des droits et obligations des contribuables en matière de déclaration de revenus. Les principes de calcul des différentes sources de revenus,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration,4397
SCO 1065,Fiscalité 2,Les connaissances  des dispositions fiscales de la Loi de l'impôt sur le revenu du Canada et d'appliquer ces règles fiscales dans la vie quotidienne de l'entreprise dont la forme juridique est celle d'une société.,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1060,Administration,Administration,4397
ADM 1012,Le management du changement,Analyser le changement organisationnel du point de vue du management. Analyser le changement organisationnel du point de vue du management.,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002 ou ADM 1101 ou ADM 1105,Administration,Administration,4397
ADM 1015,Gestion des ressources humaines,Connaissances théoriques de la gestion des ressources humaines et à sa pratique dans un environnement en constant changement.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1018,Leadership,Se familiariser avec les théories des penseurs classiques du leadership ainsi qu'avec les mouvements émergents dans le domaine.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1400,Théories de l'organisation,"décoder des situations organisationnelles concrètes. Série de métaphores de l'organisation, les exploiter pour décoder des situations organisationnelles.",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1402,Entreprise et société,"Le capitalisme : évolution de la société capitaliste et de la diversité des formes de capitalisme à l'échelle internationale. Analyse sociologique de l'entreprise : acteurs, buts, ressources, enjeux, régulations et identités. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1450,Initiation à la gestion de projets,"Définition de ce que sont les projets. Description des types de projets, des phases et des outils de planification et de contrôle. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 3013,Gestion de la responsabilité sociale des entreprises,Décrire les stratégies et les pratiques de responsabilité sociale et environnementales qui émergent actuellement et la manière dont elles s'intègrent aux fonctions de l'entreprise.,A définir prochainement,3,9 heures par semaine,Premier cycle,A définir prochainement,Administration,Administration,4397
COM 1021,Techniques d'animation et d'intervention,Développer des habiletés de compréhension et d'analyse des phénomènes de communication au sein de petits groupes.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,"Les règles régissant la gouvernance de l'entreprise, notamment les responsabilités juridiques de l'administrateur de la société et de ses dirigeants. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
EDU 1033,Gestion de projets et compétence numérique en milieu de travail,Le développement de compétences numériques transférables à de multiples milieux de travail et domaines.,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
EUT 4138,Gestion des événements et congrès,"La dynamique qui caractérise le secteur des événements, des foires et des congrès. Situer l'importance économique et stratégique de ce secteur au sein de l'industrie touristique.",Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002,Administration,Administration,4397
ADM 2015,Comportement du consommateur,"Connaître les principales théories et approches en comportement du consommateur. Comprendre l'apport des disciplines connexes, comme la psychologie, la sociologie, l'anthropologie, l'économie, etc.",Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration,4397
ADM 2016,Gestion de la relation de vente,La stratégie orientée vers les marchés et la gestion des ventes. La compréhension des marchés. La prévision des ventes à partir de l'analyse des ventes et de la concurrence.,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration,4397
ADM 2017,Marketing des commerces de détail et expérience client,"Comprendre le vocabulaire, les concepts et les théories de base liés au marketing du commerce de détail et à la gestion de l'expérience client.",Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration,4397
ADM 2112,Recherche marketing,Le processus de recherche dans le contexte de la prise de décision en marketing. Les méthodes et les outils de la recherche en marketing.,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration,4397
ADM 1420,Gestion des opérations,"Analyse de la place de la fonction gestion des opérations dans l'organisation. Étude des notions de base : la productivité et la compétitivité; la conception, le développement et l'amélioration des produits et autres.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM2006,Les systèmes d'information de gestion,"Les organisations, la gestion et l'entreprise en réseau. L'infrastructure de la technologie de l'information.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
MQT 2001,Statistiques appliquées à la gestion,"Maîtriser les divers aspects de l'inférence statistique (échantillonnage, estimation de paramètres et tests d'hypothèse) pour l'analyse et la résolution de problèmes de gestion.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
MQT 2420,Récherche opérationnelle,"Maîtriser les techniques de la recherche opérationnelle appliquées à la gestion. Être capable de percevoir un problème, d'identifier ses variables, de le modéliser, de l'optimiser et de l'analyser.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
DRT 1060,Droit des affaires,Introduction au droit québécois et canadien. Formation et effets du contrat. Responsabilité civile extracontractuelle.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
DRT 1080,Droit du travail au Québec,Définir les concepts clés du droit du travail au Québec. Distinguer les régimes québécois et canadien de droit du travail et les organisations assujetties à l'un et à l'autre.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ECO 2011,Économie du Québec,"Aperçu de l'histoire économique du Québec. Développement, croissance et cycles économiques. Structure économique du Québec et de ses régions.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ECO 2400,Analyse macroéconomique,"Concept de la macroéconomie : chômage, inflation et croissance économique. Les grands indicateurs macroéconomiques et leur mesure : PIB, inflation. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration,4397
ADM 1002,Initiation à la gestion,Un cours d'initiation au domaine de la gestion.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 3028,"Len enjeux éthiques, légaux et sociétaux des TI","Identifier les bénéfices offerts par les TI dans plusieurs domaines et les risques associés à ces technologies. Différencier les principales lois en matière de violation de la propriété intellectuelle, du vol d'identité.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
DRT 1060,Droit des affaires,Introduction au droit québécois et canadien. Formation et effets du contrat. Responsabilité civile extracontractuelle.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ECO 2400,Analyse macroéconomique,"Concept de la macroéconomie : chômage, inflation et croissance économique. Les grands indicateurs macroéconomiques et leur mesure : PIB, inflation. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
SCO 1205,Initiation à la comptabilité financière,Les connaissances de base en comptabilité financière en ce qui a trait à la préparation et à la présentation des états financiers. Les compétences nécessaires à la réalisation du cycle comptable,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 1420,Gestion des opérations,"Analyse de la place de la fonction gestion des opérations dans l'organisation. Étude des notions de base : la productivité et la compétitivité; la conception, le développement et l'amélioration des produits et autres.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 2007,Introduction au marketing,Connaissances des principes de base du marketing et maîtriser les étapes de la planification marketing.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 2016,Gestion de la relation de vente,La stratégie orientée vers les marchés et la gestion des ventes. La compréhension des marchés. La prévision des ventes à partir de l'analyse des ventes et de la concurrence.,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration de services,4480
ADM 2115,Réaliser un projet d'affaires,S'initier au processus de création d'entreprise. Se familiariser avec les caractéristiques et les principaux éléments du métier d'entrepreneur.,Cours avec examen,4,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 2115A,Simulation SIM-Plan d'affaires,Se familiariser par la pratique avec les bases de la conception et la rédaction d'un projet d'affaires.,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 7015,Stratégies de sollicitation en planification financière personnelle,Se familiariser avec la fonction marketing dans le contexte de services financiers. Acquérir les outils de base pour analyser et comprendre la dynamique des marchés financiers. ,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
FIN 1020,Administration financière 1,Les principes fondamentaux de la finance. Maîtriser les principales notions des mathématiques financières. Connaître les critères de choix des investissements. Évaluer un projet d'investissement en tenant compte de ses impacts fiscaux.,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration de services,4480
FIN 2020,Administration financière 2,Se familiariser avec la notion de risque. Saisir l'importance du facteur incertitude lors de la prise de décision d'investissement. ,Cours avec examen,3,9 heures par semaine,Premier cycle,FIN 1020,Administration,Administration de services,4480
FIN 3120,Éléments d'analyse du crédit productif en microfinance,"Notions de base de la microfinance : principes clés de la microfinance, clientèle cible, rôle du microcrédit, facteurs de succès et d'échec du microcrédit, principes d'octroi du microcrédit.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
SCO 1060,Fiscalité 1,Les différentes règles d'assujettissement à l'impôt ainsi que des droits et obligations des contribuables en matière de déclaration de revenus. Les principes de calcul des différentes sources de revenus,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration de services,4480
SCO 1065,Fiscalité 2,Les connaissances  des dispositions fiscales de la Loi de l'impôt sur le revenu du Canada et d'appliquer ces règles fiscales dans la vie quotidienne de l'entreprise dont la forme juridique est celle d'une société.,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1060,Administration,Administration de services,4480
SCO 2205,Présentation et analyse des états financiers,Référentiels comptables (normes comptables pour les entreprises à capital fermé et IFRS); nature et caractéristiques de l'information comptable et autres.,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration de services,4480
SCO 3202,Comptabilité intermédiaire 1,"Connaissances liées aux diverses ressources économiques d'une entreprise : comprendre, évaluer, comptabiliser et présenter les différentes composantes de l'actif dans les états financiers et autres.",Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration de services,4480
SCO 3212,Comptabilité intermédiaire 2,"Approfondir les connaissances sur l'évaluation, la comptabilisation et la présentation des sources de capitaux (capitaux propres et passifs). ",Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 3202,Administration,Administration de services,4480
ADM 1013,Comportement organisationnel,Le gestionnaire et le comportement organisationnel.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 1015,Gestion des ressources humaines,Connaissances théoriques de la gestion des ressources humaines et à sa pratique dans un environnement en constant changement.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 1402,Entreprise et société,"Le capitalisme : évolution de la société capitaliste et de la diversité des formes de capitalisme à l'échelle internationale. Analyse sociologique de l'entreprise : acteurs, buts, ressources, enjeux, régulations et identités. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 2006,Les systèmes d'information de gestion,"Les organisations, la gestion et l'entreprise en réseau. L'infrastructure de la technologie de l'information.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
COM 1021,Techniques d'animation et d'intervention,Développer des habiletés de compréhension et d'analyse des phénomènes de communication au sein de petits groupes.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,"Les règles régissant la gouvernance de l'entreprise, notamment les responsabilités juridiques de l'administrateur de la société et de ses dirigeants. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ECO 1300,Analyse microéconomique,Les concepts et les mécanismes microéconomiques nécessaires à la lecture et à l'interprétation de l'information économique disponible.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
FRA 3006,Rédaction administrative,Acquérir les compétences spécifiques de la communication écrite en milieu organisationnel.,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
MQT 2001,Statistiques appliquées à la gestion,"Maîtriser les divers aspects de l'inférence statistique (échantillonnage, estimation de paramètres et tests d'hypothèse) pour l'analyse et la résolution de problèmes de gestion.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
MQT 2420,Récherche opérationnelle,"Maîtriser les techniques de la recherche opérationnelle appliquées à la gestion. Être capable de percevoir un problème, d'identifier ses variables, de le modéliser, de l'optimiser et de l'analyser.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration de services,4480
ADM 1015,Gestion des ressources humaines,Connaissances théoriques de la gestion des ressources humaines et à sa pratique dans un environnement en constant changement.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 1101,Management dans les établissements de santé et de services sociaux,Comprendre les fondements et la pratique actuelle du management dans les établissements de santé et des services sociaux.,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2205,Le système de santé et des services sociaux du Québec,"Acquérir une meilleure connaissance des fondements, des transformations et des particularités du système de la santé et des services sociaux au Québec.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2210,Droit et éthique de la santé et des services sociaux,Acquérir les connaissances de base sur le droit de la santé et l'éthique en matière de santé et de services sociaux. ,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2214,Principes de budgétisation dans les services de santé et les services sociaux,"Le caractère public du financement des établissements, sa répercution sur la nature et sur l'évolution de leur budget, les compétences de l'étudiant en gestion budgétaire des établissements du réseau de la santé.",Information manquante,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2215,La qualité et sa gestion dans les services de santé et services sociaux,Ce cours a pour but de permettre aux étudiants de s'initier au concept de la qualité ainsi que sa gestion dans les services de santé et services sociaux.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2220,Pratique de la gestion dans le domaine de la santé et des services sociaux,"les connaissances acquises dans les autres cours obligatoires du programme. La gestion des services de santé ou des services sociaux, développer sa capacité d'analyse, son esprit de synthèse et son sens critique.",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 1012,Le management du changement,Analyser le changement organisationnel du point de vue du management. Analyser le changement organisationnel du point de vue du management.,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002 ou ADM 1101 ou ADM 1105,Administration,Gestion des services de santé et des services sociaux,4459
COM 3030,La communication interculturelle: une introduction,Comprendre la complexité et les dynamiques de la communication dans des situations d'interaction et d'échange interculturelles.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 1013,Comportement organisationnel,Le gestionnaire et le comportement organisationnel.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 1400,Théories de l'organisation,"décoder des situations organisationnelles concrètes. Série de métaphores de l'organisation, les exploiter pour décoder des situations organisationnelles.",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 2006,Les systèmes d'information de gestion,"Les organisations, la gestion et l'entreprise en réseau. L'infrastructure de la technologie de l'information.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
FRA 3006,Rédaction administrative,Acquérir les compétences spécifiques de la communication écrite en milieu organisationnel.,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
RIN 1012,Droit et pratique des conventions collectives,"Connaître la nature juridique de la convention collective, son fondement dans le droit du travail canadien et québécois. ",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
RIN 1013,Problèmes de santé au travail,"La différence entre les notions de santé et de sécurité au travail et la disparité entre les problèmes qui s'y rattachent. Les problèmes de santé au travail selon le secteur d'activité : primaire, secondaire, tertiaire.",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion des services de santé et des services sociaux,4459
ADM 1002,Initiation à la gestion,Un cours d'initiation au domaine de la gestion.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
EUT 1123,"Histoire, acteurs et enjeux du tourisme","Se familiariser avec les diverses dimensions du tourisme, à son système d'acteurs, ainsi qu'aux enjeux de ce phénomène à la fois social, culturel et économique.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Gestion du tourisme,4734
EUT 4138,Gestion des événements et congrès,"La dynamique qui caractérise le secteur des événements, des foires et des congrès. Situer l'importance économique et stratégique de ce secteur au sein de l'industrie touristique.",Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002,Administration,Gestion du tourisme,4734
