c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NombreDeCrédits,c_NuméroDuProgramme,c_ProfilDeFormationDuprogramme
"FIN 1020","Administration financière 1","Cours avec examen",3,4397,Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,4397,Administration
"ADM 1700","Principes de l'assurance de personnes","Cours avec examen",3,4397,Administration
"FIN 2022","Analyse financière et gestion du fonds de roulement","Cours avec examen",3,4397,Administration
"SCO 1060","Fiscalité 1","Cours avec examen",3,4397,Administration
"SCO 1065","Fiscalité 2","Cours avec examen",3,4397,Administration
"ADM 1012","Le management du changement","Cours avec examen",3,4397,Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,4397,Administration
"ADM 1018",Leadership,"Cours avec examen",3,4397,Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",3,4397,Administration
"ADM 1402","Entreprise et société","Cours avec examen",3,4397,Administration
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,4397,Administration
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3,4397,Administration
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3,4397,Administration
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3,4397,Administration
"EDU 1033","Gestion de projets et compétence numérique en milieu de travail","Cours sans examen",3,4397,Administration
"EUT 4138","Gestion des événements et congrès","Cours avec examen",3,4397,Administration
"ADM 2015","Comportement du consommateur","Cours avec examen",3,4397,Administration
"ADM 2016","Gestion de la relation de vente","Cours avec examen",3,4397,Administration
"ADM 2017","Marketing des commerces de détail et expérience client","Cours avec examen",3,4397,Administration
"ADM 2112","Recherche marketing","Cours avec examen",3,4397,Administration
"ADM 1420","Gestion des opérations","Cours avec examen",3,4397,Administration
ADM2006,"Les systèmes d'information de gestion","Cours avec examen",3,4397,Administration
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,4397,Administration
"MQT 2420","Récherche opérationnelle","Cours avec examen",3,4397,Administration
"DRT 1060","Droit des affaires","Cours avec examen",3,4397,Administration
"DRT 1080","Droit du travail au Québec","Cours avec examen",3,4397,Administration
"ECO 2011","Économie du Québec","Cours avec examen",3,4397,Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,4397,Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",3,4480,"Administration de services"
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,4480,"Administration de services"
"DRT 1060","Droit des affaires","Cours avec examen",3,4480,"Administration de services"
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,4480,"Administration de services"
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,4480,"Administration de services"
"ADM 1420","Gestion des opérations","Cours avec examen",3,4480,"Administration de services"
"ADM 2007","Introduction au marketing","Cours avec examen",3,4480,"Administration de services"
"ADM 2016","Gestion de la relation de vente","Cours avec examen",3,4480,"Administration de services"
"ADM 2115","Réaliser un projet d'affaires","Cours avec examen",3,4480,"Administration de services"
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen",3,4480,"Administration de services"
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",3,4480,"Administration de services"
"FIN 1020","Administration financière 1","Cours avec examen",3,4480,"Administration de services"
"FIN 2020","Administration financière 2","Cours avec examen",3,4480,"Administration de services"
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",3,4480,"Administration de services"
"SCO 1060","Fiscalité 1","Cours avec examen",3,4480,"Administration de services"
"SCO 1065","Fiscalité 2","Cours avec examen",3,4480,"Administration de services"
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3,4480,"Administration de services"
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",3,4480,"Administration de services"
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",3,4480,"Administration de services"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,4480,"Administration de services"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,4480,"Administration de services"
"ADM 1402","Entreprise et société","Cours avec examen",3,4480,"Administration de services"
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,4480,"Administration de services"
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3,4480,"Administration de services"
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3,4480,"Administration de services"
"ECO 1300","Analyse microéconomique","Cours avec examen",3,4480,"Administration de services"
"FRA 3006","Rédaction administrative","Cours sans examen",3,4480,"Administration de services"
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,4480,"Administration de services"
"MQT 2420","Récherche opérationnelle","Cours avec examen",3,4480,"Administration de services"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,4459,"Gestion des services de santé et des services sociaux"
"ADM 1101","Management dans les établissements de santé et de services sociaux","Cours sans examen",3,4459,"Gestion des services de santé et des services sociaux"
"ADM 2205","Le système de santé et des services sociaux du Québec","Cours avec examen",3,4459,"Gestion des services de santé et des services sociaux"
"ADM 2210","Droit et éthique de la santé et des services sociaux","Cours avec examen",3,4459,"Gestion des services de santé et des services sociaux"
"ADM 2214","Principes de budgétisation dans les services de santé et les services sociaux","Information manquante",3,4459,"Gestion des services de santé et des services sociaux"
"ADM 2215","La qualité et sa gestion dans les services de santé et services sociaux","Cours avec examen",3,4459,"Gestion des services de santé et des services sociaux"
"ADM 2220","Pratique de la gestion dans le domaine de la santé et des services sociaux","Cours sans examen",3,4459,"Gestion des services de santé et des services sociaux"
"ADM 1012","Le management du changement","Cours avec examen",3,4459,"Gestion des services de santé et des services sociaux"
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3,4459,"Gestion des services de santé et des services sociaux"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,4459,"Gestion des services de santé et des services sociaux"
"ADM 1400","Théories de l'organisation","Cours sans examen",3,4459,"Gestion des services de santé et des services sociaux"
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,4459,"Gestion des services de santé et des services sociaux"
"FRA 3006","Rédaction administrative","Cours sans examen",3,4459,"Gestion des services de santé et des services sociaux"
"RIN 1012","Droit et pratique des conventions collectives","Cours sans examen",3,4459,"Gestion des services de santé et des services sociaux"
"RIN 1013","Problèmes de santé au travail","Cours sans examen",3,4459,"Gestion des services de santé et des services sociaux"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,4734,"Gestion du tourisme"
"EUT 1123","Histoire, acteurs et enjeux du tourisme","Cours avec examen",3,4734,"Gestion du tourisme"
"EUT 4138","Gestion des événements et congrès","Cours avec examen",3,4734,"Gestion du tourisme"
"EUT 4150","Technologies de l'information et des communications et réseaux de distribution en tourisme","Cours avec examen",3,4734,"Gestion du tourisme"
"EUT 5045","Stratégies des entreprises touristiques et hôtelières","Cours avec examen",3,4734,"Gestion du tourisme"
"EUT 5106","Environnements politiques et administratifs du tourisme","Cours avec examen",3,4734,"Gestion du tourisme"
"EUT 5109","Tourisme urbain","Cours avec examen",3,4734,"Gestion du tourisme"
"EUT 5120","Tourisme de nature et d'aventures","Information manquante",3,4734,"Gestion du tourisme"
"MKG 3315","Marketing de tourisme et hôtellerie","Cours sans examen",3,4734,"Gestion du tourisme"
"ADM 2115","Réaliser un projet d'affaires","Cours avec examen",3,4734,"Gestion du tourisme"
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen",3,4734,"Gestion du tourisme"
"DRT 1060","Droit des affaires","Cours avec examen",3,4734,"Gestion du tourisme"
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,4734,"Gestion du tourisme"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,4386,"Gestion du travail de bureau"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,4386,"Gestion du travail de bureau"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,4386,"Gestion du travail de bureau"
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,4386,"Gestion du travail de bureau"
"ADM 1404","Travail et société","Cours avec examen",3,4386,"Gestion du travail de bureau"
"COM 5000","Communication organisationnelle","Cours avec examen",3,4386,"Gestion du travail de bureau"
"DRT 1080","Droit du travail au Québec","Cours avec examen",3,4386,"Gestion du travail de bureau"
"ECO 3003","Économie du travail","Cours avec examen",3,4386,"Gestion du travail de bureau"
"FIN 1020","Administration financière 1","Cours avec examen",3,4386,"Gestion du travail de bureau"
"FRA 3006","Rédaction administrative","Cours sans examen",3,4386,"Gestion du travail de bureau"
"RIN 1016","Gestion de la rémunération","Cours avec examen",3,4386,"Gestion du travail de bureau"
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",3,4386,"Gestion du travail de bureau"
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",3,4386,"Gestion du travail de bureau"
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,4386,"Gestion du travail de bureau"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,4084,Management
"ADM 1012","Le management du changement","Cours avec examen",3,4084,Management
"ADM 1013","Comportement organisationnel","Cours avec examen",3,4084,Management
"ADM 1400","Théories de l'organisation","Cours sans examen",3,4084,Management
"ADM 1402","Entreprise et société","Cours avec examen",3,4084,Management
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,4084,Management
"ADM 1018",Leadership,"Cours avec examen",3,4084,Management
"ADM 1404","Travail et société","Cours avec examen",3,4084,Management
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,4084,Management
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3,4084,Management
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3,4084,Management
"COM 1013","Communication et structures organisationnelles","Cours avec examen",3,4084,Management
"COM 5002","Culture organisationnelle","Cours avec examen",3,4084,Management
"EDU 1033","Gestion de projets et compétence numérique en milieu de travail","Cours sans examen",3,4084,Management
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",3,4084,Management
"ADM 1013","Comportement organisationnel","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 2007","Introduction au marketing","Cours avec examen",3,7764,"Administration (cheminement général)"
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,7764,"Administration (cheminement général)"
"ECO 1300","Analyse microéconomique","Cours avec examen",3,7764,"Administration (cheminement général)"
"DRT 1060","Droit des affaires","Cours avec examen",3,7764,"Administration (cheminement général)"
"FIN 1020","Administration financière 1","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,7764,"Administration (cheminement général)"
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 1420","Gestion des opérations","Cours avec examen",3,7764,"Administration (cheminement général)"
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 1402","Entreprise et société","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 1400","Théories de l'organisation","Cours sans examen",3,7764,"Administration (cheminement général)"
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,7764,"Administration (cheminement général)"
"SCO 2006","Contrôle de gestion","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 1012","Le management du changement","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 1018",Leadership,"Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 1404","Travail et société","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3,7764,"Administration (cheminement général)"
"ADM 2009","Marketing responsable","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 2013","Publicité et promotion pour les entreprises de services","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 2015","Comportement du consommateur","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 2016","Gestion de la relation de vente","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 2017","Marketing des commerces de détail et expérience client","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 2112","Recherche marketing","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 2116","Stratégie marketing","Cours avec examen",3,7764,"Administration (cheminement général)"
"FIN 2020","Administration financière 2","Cours avec examen",3,7764,"Administration (cheminement général)"
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",3,7764,"Administration (cheminement général)"
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",3,7764,"Administration (cheminement général)"
"SCO 1060","Fiscalité 1","Cours avec examen",3,7764,"Administration (cheminement général)"
"SCO 1065","Fiscalité 2","Cours avec examen",3,7764,"Administration (cheminement général)"
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3,7764,"Administration (cheminement général)"
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",3,7764,"Administration (cheminement général)"
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 1700","Principes de l'assurance de personnes","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 7012","Retraite et planification successorale","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 7014","Approfondissement de la planification successorale","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 7030","Activité d'intégration en planification financière","Cours avec examen",3,7764,"Administration (cheminement général)"
"DRT 1910","Aspects juridiques pour planificateurs financiers","Cours avec examen",3,7764,"Administration (cheminement général)"
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3,7764,"Administration (cheminement général)"
"SCO 1064","Fiscalité 2 pour planificateurs financiers","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 2010","Gestion de la formation et développement des ressources humaines","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 4015","Modèles internationaux de gestion des ressources humaines","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 4020","Gestion du rendement","Cours avec examen",3,7764,"Administration (cheminement général)"
"RIN 1008","Introduction aux relations insdustrielles","Cours avec examen",3,7764,"Administration (cheminement général)"
"RIN 1011",Dotation,"Cours avec examen",3,7764,"Administration (cheminement général)"
"RIN 1012","Droit et pratique des conventions collectives","Cours avec examen",3,7764,"Administration (cheminement général)"
"RIN 1013","Problèmes de santé au travail","Cours avec examen",3,7764,"Administration (cheminement général)"
"RIN 1015","Gestion du dossier de santé et de sécurité au travail","Cours avec examen",3,7764,"Administration (cheminement général)"
"RIN 1016","Gestion de la rémunération","Cours avec examen",3,7764,"Administration (cheminement général)"
"RIN 1017","Les défis de l'intervention préventiveen santé et sécurité au travail","Cours avec examen",3,7764,"Administration (cheminement général)"
"RIN 1022","Négociation collective contemporaine","Cours avec examen",3,7764,"Administration (cheminement général)"
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",3,7764,"Administration (cheminement général)"
"RIN 2015","Politiques et pratiques de gestion de la main-d'œuvre vieillissante","Cours avec examen",3,7764,"Administration (cheminement général)"
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",3,7764,"Administration (cheminement général)"
"INF 1160","Les réseaux d'entreprise","Cours avec examen",3,7764,"Administration (cheminement général)"
"INF 1220","Introduction à la programmation","Cours avec examen",3,7764,"Administration (cheminement général)"
"INF 1250","Introduction aux bases de données","Cours avec examen",3,7764,"Administration (cheminement général)"
"INF 6400","Gestion de connaissances et informatique","Cours avec examen",3,7764,"Administration (cheminement général)"
"MQT 2420","Récherche opérationnelle","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 3007","Initiatives de développement local et d'économie sociale","Cours avec examen",3,7764,"Administration (cheminement général)"
"ECO 2011","Économie du Québec","Cours avec examen",3,7764,"Administration (cheminement général)"
"ECO 2015","Économie internationale","Cours avec examen",3,7764,"Administration (cheminement général)"
"ECO 2021","Économie responsable","Cours avec examen",3,7764,"Administration (cheminement général)"
"ECO 3003","Économie du travail","Cours avec examen",3,7764,"Administration (cheminement général)"
"ECO 3004","Formation et compétitivité économique","Cours avec examen",3,7764,"Administration (cheminement général)"
"ECO 3005","Développement économique et emploi","Cours avec examen",3,7764,"Administration (cheminement général)"
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",3,7764,"Administration (cheminement général)"
"ADM 2014","Devenir entrepreneur","Cours sans examen",3,7764,"Administration (cheminement général)"
"ADM 2115","Réaliser un projet d'affaires","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen",3,7764,"Administration (cheminement général)"
"ADM 2124","Entrepreneuriat social et entreprise collective","A définir prochainement",3,7764,"Administration (cheminement général)"
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen",3,7764,"Administration (cheminement général)"
"ADM 9003","Gestion de la TPE/PME","Cours sans examen",3,7764,"Administration (cheminement général)"
"ADM 9003A","Gestion TPE/PME: simulation","Cours sans examen",3,7764,"Administration (cheminement général)"
"ADM 2021","Marketing international","Cours avec examen",3,7764,"Administration (cheminement général)"
"INT 1010","Introduction au développement international","Cours avec examen",3,7764,"Administration (cheminement général)"
"INT 2010","Migrations internationales","Cours avec examen",3,7764,"Administration (cheminement général)"
"INT 2020","Théories internationales et mondialisation","Cours avec examen",3,7764,"Administration (cheminement général)"
"INT 2030","Coopération internationale, gouvernance et développement démocratique","Cours avec examen",3,7764,"Administration (cheminement général)"
"POL 1010","Introductioon aux relations internationales","Cours sans examen",3,7764,"Administration (cheminement général)"
"COM 1013","Communication et structures organisationnelles","Cours avec examen",3,7764,"Administration (cheminement général)"
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3,7764,"Administration (cheminement général)"
"COM 5000","Communication organisationnelle","Cours avec examen",3,7764,"Administration (cheminement général)"
"COM 5002","Culture organisationnelle","Cours avec examen",3,7764,"Administration (cheminement général)"
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",3,7764,"Administration (cheminement général)"
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen",3,7764,"Administration (cheminement général)"
"COM 5022","Communication électronique, et dynamique organisationnelle","Cours avec examen",3,7764,"Administration (cheminement général)"
"RPL 2003","Introduction aux relations publiques","Cours avec examen",3,7764,"Administration (cheminement général)"
"RPL 2004","Le plan de communication","Cours avec examen",3,7764,"Administration (cheminement général)"
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3,7764,"Administration (cheminement général)"
"DRT 1080","Droit du travail au Québec","Cours avec examen",3,7764,"Administration (cheminement général)"
"EUT 4138","Gestion des événements et congrès","Cours avec examen",3,7764,"Administration (cheminement général)"
"EUT 5109","Tourisme urbain","Cours avec examen",3,7764,"Administration (cheminement général)"
"EUT 5120","Tourisme de nature et d'aventures","Information manquante",3,7764,"Administration (cheminement général)"
"ENP 7303","Management des organisations publiques - ENAP","Information manquante",3,7764,"Administration (cheminement général)"
"ENP 7333","Conception et mise en œuvre des politiques publiques - ENAP","Information manquante",3,7764,"Administration (cheminement général)"
"ENP 7505","Principes et enjeux de l'administration publique - ENAP","Information manquante",3,7764,"Administration (cheminement général)"
"ENP 7350","Méthodes de recherche et d'intervention - ENAP","Information manquante",3,7764,"Administration (cheminement général)"
"ENP 77332","Gestiond par résultats - ENAP","Information manquante",3,7764,"Administration (cheminement général)"
"ADM 4010","Stratégie d'entreprise","Cours avec examen",3,7764,"Administration (cheminement général)"
"ADM 4051","Intervention en management","Cours sans examen",3,7764,"Administration (cheminement général)"
"ADM 4061","Observation en management","Cours sans examen",3,7764,"Administration (cheminement général)"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 2007","Introduction au marketing","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ECO 1300","Analyse microéconomique","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"DRT 1060","Droit des affaires","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"FIN 1020","Administration financière 1","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 1420","Gestion des opérations","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 1402","Entreprise et société","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 1400","Théories de l'organisation","Cours sans examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"SCO 2006","Contrôle de gestion","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 1012","Le management du changement","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 1018",Leadership,"Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 1404","Travail et société","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 2009","Marketing responsable","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 2013","Publicité et promotion pour les entreprises de services","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 2015","Comportement du consommateur","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 2016","Gestion de la relation de vente","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 2017","Marketing des commerces de détail et expérience client","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 2112","Recherche marketing","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"ADM 2116","Stratégie marketing","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"FIN 2020","Administration financière 2","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
"SCO 1060","Fiscalité 1","Cours avec examen",3,7364,"Administration (cheminement général bilingue - français/anglais)"
