c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NuméroDuProgramme,c_ProfilDeFormationDuprogramme,c_DépartementResponsable
"POL 1010","Introductioon aux relations internationales","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 4051","Intervention en management","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 4061","Observation en management","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",6771,"Administration (développement local et économie sociale)",Administration
"EDU 1033","Gestion de projets et compétence numérique en milieu de travail","Cours sans examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 4054","Intervention en développement local et économie sociale","Cours sans examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 4064","Observation en développement local et économie sociale","Cours sans examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 1101","Management dans les établissements de santé et de services sociaux","Cours sans examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 2220","Pratique de la gestion dans le domaine de la santé et des services sociaux","Cours sans examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"FRA 3006","Rédaction administrative","Cours sans examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"RIN 1012","Droit et pratique des conventions collectives","Cours sans examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"RIN 1013","Problèmes de santé au travail","Cours sans examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",6768,"Administration (management)",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",6768,"Administration (management)",Administration
"ADM 3051","Portfolio de formation en management","Cours sans examen",6768,"Administration (management)",Administration
"ADM 2014","Devenir entrepreneur","Cours sans examen",6768,"Administration (management)",Administration
"ADM 4051","Intervention en management","Cours sans examen",6768,"Administration (management)",Administration
"ADM 4061","Observation en management","Cours sans examen",6768,"Administration (management)",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",6769,"Administration (marketing)",Administration
"ADM 3052","Portfolio de formation en marketing","Cours sans examen",6769,"Administration (marketing)",Administration
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen",6769,"Administration (marketing)",Administration
"ADM 4053","Intervention en marketing","Cours sans examen",6769,"Administration (marketing)",Administration
"ADM 4063","Observation en marketing","Cours sans examen",6769,"Administration (marketing)",Administration
"ADM 6202","Gestion de la créativité","Cours sans examen",740,"Gestion de projets créatifs",Administration
"ADM 6205","Gestion de projets et créativité","Cours sans examen",740,"Gestion de projets créatifs",Administration
"ADM 6216","Leadership et travail d'équipe","Cours sans examen",740,"Gestion de projets créatifs",Administration
"ADM 6218","Gestion des carrières créatives","Cours sans examen",740,"Gestion de projets créatifs",Administration
"ADM 6220","Gestion, territoire et créativité","Cours sans examen",740,"Gestion de projets créatifs",Administration
"ADM 6404","Performance et innovation dans les services de santé et services sociaux","Cours sans examen",684,"Organisation des services de santé et des services sociaux",Administration
"ADM 6410","Acquisition des habilétés de gestion et interdisciplinarité en santé","Cours sans examen",684,"Organisation des services de santé et des services sociaux",Administration
"ADM 6412","Changement dans les organisations de santé et de services sociaux","Cours sans examen",684,"Organisation des services de santé et des services sociaux",Administration
"ADM 6415","Activité de synthèse et d'intégration","Cours sans examen",684,"Organisation des services de santé et des services sociaux",Administration
"ADM 6216","Leadership et travail d'équipe","Cours sans examen",684,"Organisation des services de santé et des services sociaux",Administration
"ADM 6506","Gestion des conflits en contexte de projet","Cours sans examen",684,"Organisation des services de santé et des services sociaux",Administration
"ADM 6508","Management et transfert des connaissances","Cours sans examen",684,"Organisation des services de santé et des services sociaux",Administration
"SAM 4250","Intervention communautaire","Cours sans examen",684,"Organisation des services de santé et des services sociaux",Administration
"SAM 4320","Histoire de la prise en charge des troubles mentaux au Québec","Cours sans examen",684,"Organisation des services de santé et des services sociaux",Administration
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",768,"Médias, information et rapports sociaux",Communication
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen",4381,"Analyse des médias",Communication
"COM 3020","Médiax, technologies et réseaux","Cours sans examen",4381,"Analyse des médias",Communication
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen",4381,"Analyse des médias",Communication
"COM 4020","Activité de synthèse ","Cours sans examen",4381,"Analyse des médias",Communication
"COM 2005","Cadre politique et institutionnel de la communication","Cours sans examen",4381,"Analyse des médias",Communication
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",4381,"Analyse des médias",Communication
"AVM 1001","Introduction aux arts médiatiques","Cours sans examen",4381,"Analyse des médias",Communication
"COM 4011","Projet d'intégration","Cours sans examen",4379,"Communication organisationnelle",Communication
"ADM 1400","Théories de l'organisation","Cours sans examen",4379,"Communication organisationnelle",Communication
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen",4379,"Communication organisationnelle",Communication
"FRA 3008","Écriture en communication","Cours sans examen",4379,"Communication organisationnelle",Communication
"SOC 1012","Méthodologie de la recherche sociale 1","Cours sans examen",4379,"Communication organisationnelle",Communication
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen",4039,"Relations publiques",Communication
"COM 5020","Communication promotionnelle électronique","Cours sans examen",4039,"Relations publiques",Communication
"FRA 3008","Écriture en communication","Cours sans examen",4039,"Relations publiques",Communication
"RPL 2010","Stage en relations publiques","Cours sans examen",4039,"Relations publiques",Communication
"COM 2014","Pratiques de la recherche en communication","Cours sans examen",7887,Communication,Communication
"COM 4001","Projet d'intégration","Cours sans examen",7887,Communication,Communication
"SOC 1012","Méthodologie de la recherche sociale 1","Cours sans examen",7887,Communication,Communication
"COM 2005","Cadre politique et institutionnel de la communication","Cours sans examen",7887,Communication,Communication
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen",7887,Communication,Communication
"COM 3020","Médiax, technologies et réseaux","Cours sans examen",7887,Communication,Communication
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",7887,Communication,Communication
"COM 4025","Lectures dirigées","Cours sans examen",7887,Communication,Communication
"AVM 1001","Introduction aux arts médiatiques","Cours sans examen",7887,Communication,Communication
"POL 1010","Introductioon aux relations internationales","Cours sans examen",7887,Communication,Communication
"ADM 1400","Théories de l'organisation","Cours sans examen",7887,Communication,Communication
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen",7887,Communication,Communication
"COM 2001","La nouvelle communication","Cours sans examen",7887,Communication,Communication
"COM 5020","Communication promotionnelle électronique","Cours sans examen",7887,Communication,Communication
"FRA 3008","Écriture en communication","Cours sans examen",7887,Communication,Communication
"ADM 1400","Théories de l'organisation","Cours sans examen",4227,"Comptabilité générale","Comptabilité "
"FIN 2024","Évaluation d'entreprise","Cours sans examen",4138,"Sciences comptables","Comptabilité "
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",4138,"Sciences comptables","Comptabilité "
"ADM 1400","Théories de l'organisation","Cours sans examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"FIN 2024","Évaluation d'entreprise","Cours sans examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"RIN 1012","Droit et pratique des conventions collectives","Cours sans examen",9007,"Droit et gouvernance de l'entreprise",Droit
"ECO 1200","Méthodologie économique","Cours sans examen",979,Économie,Économie
"ECO 2023","Corruption, blanchiment d'argent et évasion fiscale internationale: comment s'en protéger?","Cours sans examen",979,Économie,Économie
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",979,Économie,Économie
"ECO 1200","Méthodologie économique","Cours sans examen",4013,Économie,Économie
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",4013,Économie,Économie
"ADM 1400","Théories de l'organisation","Cours sans examen",6775,"Administration (économie)",Économie
"ECO 1200","Méthodologie économique","Cours sans examen",6775,"Administration (économie)",Économie
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",6775,"Administration (économie)",Économie
"ECO 2023","Corruption, blanchiment d'argent et évasion fiscale internationale: comment s'en protéger?","Cours sans examen",6775,"Administration (économie)",Économie
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",6775,"Administration (économie)",Économie
"EDU 1010","Organisation de l'éducation au Québec","Cours sans examen",9012,Éducation,Éducation
"EDU 1012","Difficultés d'apprentissage, d'adaptation et stratégies d'intervention","Cours sans examen",9012,Éducation,Éducation
"EDU 1013","Évaluation des apprentissages en milieu scolaire","Cours sans examen",9012,Éducation,Éducation
"EDU 1022","Français, langue d'enseignement et d'apprentissage","Cours sans examen",9012,Éducation,Éducation
"EDU 1024","Didactique de l'arithmétique","Cours sans examen",9012,Éducation,Éducation
"EDU 1020","Stratégies d'intervention éducative auprès des adultes","Cours sans examen",494,"Intervention éducative auprès des adultes",Éducation
"EDU 1030","Design pédagogique en formation d'adultes","Cours sans examen",494,"Intervention éducative auprès des adultes",Éducation
"EDU 1035","Gestion stratégique de la formation d'adultes","Cours sans examen",494,"Intervention éducative auprès des adultes",Éducation
"EDU 1040","Théories de l'apprentissage et éducation des adultes","Cours sans examen",494,"Intervention éducative auprès des adultes",Éducation
"EDU 1071","Formation en milieu de travail: Des dispositifs aux pratiques","Cours sans examen",494,"Intervention éducative auprès des adultes",Éducation
"EDU 1072","Travaux pratiques","Cours sans examen",494,"Intervention éducative auprès des adultes",Éducation
"EDU 1074","Projet personnel","Cours sans examen",494,"Intervention éducative auprès des adultes",Éducation
"EDU 1080","Évaluation de l'apprentissage et de la formation","Cours sans examen",494,"Intervention éducative auprès des adultes",Éducation
"PSY 1220","Psychologie de la vie adulte","Cours sans examen",494,"Intervention éducative auprès des adultes",Éducation
"TED 1272","Les TIC et l'apprentissage en milieu de travail","Cours sans examen",494,"Intervention éducative auprès des adultes",Éducation
"EDU 1030","Design pédagogique en formation d'adultes","Cours sans examen",9019,"Enseigner et apprendre avec le numérique",Éducation
"EDU 1074","Projet personnel","Cours sans examen",9019,"Enseigner et apprendre avec le numérique",Éducation
"TED 1272","Les TIC et l'apprentissage en milieu de travail","Cours sans examen",9019,"Enseigner et apprendre avec le numérique",Éducation
"TED 1280","Jeux, simulations et jeux de rôle: exploration et analyse pédagogique","Cours sans examen",9019,"Enseigner et apprendre avec le numérique",Éducation
"TED 3001","Enseigner avec les technologies de l'information","Cours sans examen",9019,"Enseigner et apprendre avec le numérique",Éducation
"EDU 1020","Stratégies d'intervention éducative auprès des adultes","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"EDU 1030","Design pédagogique en formation d'adultes","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"EDU 1040","Théories de l'apprentissage et éducation des adultes","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"EDU 1050","Analyse sociale de l'éducation","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"EDU 1080","Évaluation de l'apprentissage et de la formation","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"PSY 1220","Psychologie de la vie adulte","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"EDU 1035","Gestion stratégique de la formation d'adultes","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"EDU 1071","Formation en milieu de travail: Des dispositifs aux pratiques","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"LIN 4128","Teaching English as a Second Language to Adults  ","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"TED 1272","Les TIC et l'apprentissage en milieu de travail","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"TED 1280","Jeux, simulations et jeux de rôle: exploration et analyse pédagogique","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"EDU 1070","Clarification des valeurs","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"PSY 1300","Introduction à la psychologie de la personnalité","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"PSY 1323","Motivation et émotions","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"PSY 1400","Introductionà la psychologie de la santé","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"PSY 4001","Introductionà la psychologie cognitive","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"EDU 1033","Gestion de projets et compétence numérique en milieu de travail","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"EDU 1072","Travaux pratiques","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"EDU 1074","Projet personnel","Cours sans examen",6394,"Éducation avec majeure(s)",Éducation
"TED 6312","Ingénierie pédagogique et technologies éducatives","Cours sans examen",638,"Design pédagogique",Éducation
"TED 6313","Projet d'ingénierie technopédagogique","Cours sans examen",638,"Design pédagogique",Éducation
"TED 6210","Stratégies pédagogiques: une approche cognitive","Cours sans examen",638,"Design pédagogique",Éducation
"TED 6350","Technologie de diffusion de la formation","Cours sans examen",638,"Design pédagogique",Éducation
"EDU 6011A","Gestion efficace des comportements - volet enseignement","Cours sans examen",666,"Efficacité de l'enseignement et des écoles",Éducation
"EDU 6510A","L'enseignement efficace: fondements et pratiques - volet enseignement","Cours sans examen",666,"Efficacité de l'enseignement et des écoles",Éducation
"EDU 6511A","L'enseignement explicite: fondements et pratiques - volet enseignement","Cours sans examen",666,"Efficacité de l'enseignement et des écoles",Éducation
"EDU 6009B","Gestion efficace des comportements - volet accompagnement 1: école","Cours sans examen",666,"Efficacité de l'enseignement et des écoles",Éducation
"EDU 6010B","Gestion efficace des comportements - volet accompagnement 2: classe","Cours sans examen",666,"Efficacité de l'enseignement et des écoles",Éducation
"EDU 6510B","L'enseignement efficace: fondements et pratiques - volet accompagnement","Cours sans examen",666,"Efficacité de l'enseignement et des écoles",Éducation
"EDU 6511B","L'enseignement explicite: fondements et pratiques - volet accompagnement","Cours sans examen",666,"Efficacité de l'enseignement et des écoles",Éducation
"EDU 6510C","L'enseignement efficace: fondements et pratiques - volet intervention","Cours sans examen",666,"Efficacité de l'enseignement et des écoles",Éducation
"EDU 6001","Administration de systèmes de formation à distance","Cours sans examen",892,"Formation à distance",Éducation
"EDU 6002","Communication pédagogique à distance","Cours sans examen",892,"Formation à distance",Éducation
"EDU 6003","Visions pédagogiques de l'éducation","Cours sans examen",892,"Formation à distance",Éducation
"EDU 6013","Soutien à l'apprentissage à distance","Cours sans examen",892,"Formation à distance",Éducation
"EDU 6014","Formation à distance et développement","Cours sans examen",892,"Formation à distance",Éducation
"EDU 6022","Technologies et apprentissage à distance","Cours sans examen",892,"Formation à distance",Éducation
"EDU 6101","La formation à distance maintenant 1","Cours sans examen",892,"Formation à distance",Éducation
"EDU 6102","La formation à distance maintenant 2","Cours sans examen",892,"Formation à distance",Éducation
"TED 6512","Apprentissage collaboratif en mode virtuel","Cours sans examen",892,"Formation à distance",Éducation
"TED 6312","Ingénierie pédagogique et technologies éducatives","Cours sans examen",584,"Technologie éducative",Éducation
"EDU 6013","Soutien à l'apprentissage à distance","Cours sans examen",584,"Technologie éducative",Éducation
"EDU 6015","Travail pratique","Cours sans examen",584,"Technologie éducative",Éducation
"EDU 6022","Technologies et apprentissage à distance","Cours sans examen",584,"Technologie éducative",Éducation
"TED 6200","Technologies de l'information et développement cognitif","Cours sans examen",584,"Technologie éducative",Éducation
"TED 6210","Stratégies pédagogiques: une approche cognitive","Cours sans examen",584,"Technologie éducative",Éducation
"TED 6313","Projet d'ingénierie technopédagogique","Cours sans examen",584,"Technologie éducative",Éducation
"TED 6350","Technologie de diffusion de la formation","Cours sans examen",584,"Technologie éducative",Éducation
"TED 6375","Gestion de projets en technologie éducative","Cours sans examen",584,"Technologie éducative",Éducation
"TED 6501","Intégration des TIC en situation éducative","Cours sans examen",584,"Technologie éducative",Éducation
"TED 6502","Jeux virtuels et apprentissage","Cours sans examen",584,"Technologie éducative",Éducation
"TED 6503","Intégration du numérique en éducation et en formation des adultes","Cours sans examen",584,"Technologie éducative",Éducation
"TED 6504","Apprentissage en ligne: concepts, putils et pratiques","Cours sans examen",584,"Technologie éducative",Éducation
"TED 6512","Apprentissage colalboratif en mode virtuel","Cours sans examen",584,"Technologie éducative",Éducation
"TED 6520","Environnements d'apprentissage intelligents","Cours sans examen",584,"Technologie éducative",Éducation
"ADM 2014","Devenir entrepreneur","Cours sans examen",470,Entrepreneuriat,Entrepreneuriat
"ADM 9003","Gestion de la TPE/PME","Cours sans examen",470,Entrepreneuriat,Entrepreneuriat
"ADM 9003A","Gestion TPE/PME: simulation","Cours sans examen",470,Entrepreneuriat,Entrepreneuriat
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen",470,Entrepreneuriat,Entrepreneuriat
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen",470,Entrepreneuriat,Entrepreneuriat
"ADM 4007B","Rédiger son plan d'affaires","Cours sans examen",470,Entrepreneuriat,Entrepreneuriat
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen",4089,"Compétences entrepreneuriales et gestion des PME/PMO",Entrepreneuriat
"ADM 9003","Gestion de la TPE/PME","Cours sans examen",4089,"Compétences entrepreneuriales et gestion des PME/PMO",Entrepreneuriat
"ADM 9003A","Gestion TPE/PME: simulation","Cours sans examen",4089,"Compétences entrepreneuriales et gestion des PME/PMO",Entrepreneuriat
"ADM 4007B","Rédiger son plan d'affaires","Cours sans examen",4089,"Compétences entrepreneuriales et gestion des PME/PMO",Entrepreneuriat
"ADM 2014","Devenir entrepreneur","Cours sans examen",4089,"Compétences entrepreneuriales et gestion des PME/PMO",Entrepreneuriat
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen",4089,"Compétences entrepreneuriales et gestion des PME/PMO",Entrepreneuriat
"ADM 3014","Développement économique et soutien à l'entrepreneuriat","Cours sans examen",4089,"Compétences entrepreneuriales et gestion des PME/PMO",Entrepreneuriat
"ADM 3014A","Simulation-Soutien à l'entrepreneuriat et développement économique","Cours sans examen",4089,"Compétences entrepreneuriales et gestion des PME/PMO",Entrepreneuriat
"ADM 1400","Théories de l'organisation","Cours sans examen",6772,"Administration (entrepreneuriat)",Entrepreneuriat
"ADM 2014","Devenir entrepreneur","Cours sans examen",6772,"Administration (entrepreneuriat)",Entrepreneuriat
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen",6772,"Administration (entrepreneuriat)",Entrepreneuriat
"ADM 9003","Gestion de la TPE/PME","Cours sans examen",6772,"Administration (entrepreneuriat)",Entrepreneuriat
"ADM 9003A","Gestion TPE/PME: simulation","Cours sans examen",6772,"Administration (entrepreneuriat)",Entrepreneuriat
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen",6772,"Administration (entrepreneuriat)",Entrepreneuriat
"ADM 4007B","Rédiger son plan d'affaires","Cours sans examen",6772,"Administration (entrepreneuriat)",Entrepreneuriat
"ADM 3014","Développement économique et soutien à l'entrepreneuriat","Cours sans examen",6772,"Administration (entrepreneuriat)",Entrepreneuriat
"ADM 3014A","Simulation-Soutien à l'entrepreneuriat et développement économique","Cours sans examen",6772,"Administration (entrepreneuriat)",Entrepreneuriat
"ENV 1110","Changements climatiques","Cours sans examen",265,"Gestion des ressources fauniques",Environnement
"ENV 3015","Évaluation environnementale","Cours sans examen",265,"Gestion des ressources fauniques",Environnement
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",265,"Gestion des ressources fauniques",Environnement
"ENV 4012","Environnement international","Cours sans examen",265,"Gestion des ressources fauniques",Environnement
"ENV 1110","Changements climatiques","Cours sans examen",4390,"Sciences de l'environnement",Environnement
"ENV 3015","Évaluation environnementale","Cours sans examen",4390,"Sciences de l'environnement",Environnement
"ENV 3017","Santé et environnement","Cours sans examen",4390,"Sciences de l'environnement",Environnement
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",4390,"Sciences de l'environnement",Environnement
"ENV 3140","Les normes environnementales ISO 14000","Cours sans examen",4390,"Sciences de l'environnement",Environnement
"ENV 4012","Environnement international","Cours sans examen",4390,"Sciences de l'environnement",Environnement
"ENV 1110","Changements climatiques","Cours sans examen",6004,"Sciences de l'environnement",Environnement
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",6004,"Sciences de l'environnement",Environnement
"ENV 3015","Évaluation environnementale","Cours sans examen",6004,"Sciences de l'environnement",Environnement
"ENV 3140","Les normes environnementales ISO 14000","Cours sans examen",6004,"Sciences de l'environnement",Environnement
"SCI 1013","Introduction aux méthodes de recherche scientifique","Cours sans examen",6004,"Sciences de l'environnement",Environnement
"ENV 3017","Santé et environnement","Cours sans examen",6004,"Sciences de l'environnement",Environnement
"ENV 4012","Environnement international","Cours sans examen",6004,"Sciences de l'environnement",Environnement
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",6004,"Sciences de l'environnement",Environnement
"SCI 1230","Travail scientifique et technologies de l'information","Cours sans examen",6004,"Sciences de l'environnement",Environnement
"TED 1272","Les TIC et l'apprentissage en milieu de travail","Cours sans examen",6004,"Sciences de l'environnement",Environnement
"ENV 4025","Projet d'intégration","Cours sans examen",6004,"Sciences de l'environnement",Environnement
"ENV 4027",Séminaire,"Cours sans examen",6004,"Sciences de l'environnement",Environnement
"ENV 6002","Gestion internationale du développement durable","Cours sans examen",639,"Environnement international",Environnement
"ENV 6000","Pensées écologiques et environnement international","Cours sans examen",639,"Environnement international",Environnement
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",639,"Environnement international",Environnement
"ENV 6005","Populations, écosystèmes et services écosystémiques","Cours sans examen",639,"Environnement international",Environnement
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",639,"Environnement international",Environnement
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",639,"Environnement international",Environnement
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",639,"Environnement international",Environnement
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",639,"Environnement international",Environnement
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",639,"Environnement international",Environnement
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",639,"Environnement international",Environnement
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",961,"Gestion intégrée dez zones côtières",Environnement
"ENV 6002","Gestion internationale du développement durable","Cours sans examen",961,"Gestion intégrée dez zones côtières",Environnement
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",961,"Gestion intégrée dez zones côtières",Environnement
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",961,"Gestion intégrée dez zones côtières",Environnement
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",961,"Gestion intégrée dez zones côtières",Environnement
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",961,"Gestion intégrée dez zones côtières",Environnement
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",961,"Gestion intégrée dez zones côtières",Environnement
"ENV 6002","Gestion internationale du développement durable","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6000","Pensées écologiques et environnement international","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6005","Populations, écosystèmes et services écosystémiques","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
